"Country name","year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","area"
"South Korea",2012,6.003,10.493,0.775,71.34,0.618,NA,0.844,0.61,0.206,"KOR"
"South Korea",2013,5.959,10.519,0.797,71.56,0.642,-0.056,0.832,0.589,0.189,"KOR"
"South Korea",2014,5.801,10.544,0.738,71.78,0.623,-0.049,0.834,0.575,0.283,"KOR"
"South Korea",2015,5.78,10.567,0.768,72,0.616,-0.041,0.841,0.561,0.244,"KOR"
"South Korea",2016,5.971,10.592,0.811,72.275,0.591,0.02,0.862,0.583,0.233,"KOR"
"South Korea",2017,5.874,10.62,0.807,72.55,0.538,0.008,0.851,0.546,0.235,"KOR"
"South Korea",2018,5.84,10.645,0.798,72.825,0.6,-0.095,0.797,0.579,0.217,"KOR"
"South Korea",2019,5.903,10.663,0.783,73.1,0.706,-0.061,0.718,0.593,0.236,"KOR"
"South Korea",2020,5.793,10.655,0.808,73.375,0.711,-0.112,0.665,0.55,0.247,"KOR"
"South Korea",2021,6.113,10.697,0.811,73.65,0.717,-0.033,0.685,0.566,0.221,"KOR"
"South Korea",2022,5.95,10.725,0.81,73.925,0.723,0.002,0.747,0.585,0.233,"KOR"
"South Korea",2023,6.112,10.742,0.799,74.2,0.762,-0.004,0.714,0.603,0.245,"KOR"
"Spain",2005,7.153,10.544,0.961,70.4,0.916,NA,0.777,0.694,0.241,"ESP"
"Spain",2007,6.995,10.585,0.957,70.64,0.782,-0.099,0.784,0.717,0.264,"ESP"
"Spain",2008,7.294,10.577,0.948,70.76,0.834,-0.155,0.683,0.649,0.26,"ESP"
"Spain",2009,6.199,10.53,0.929,70.88,0.749,-0.133,0.798,0.645,0.336,"ESP"
"Spain",2010,6.188,10.527,0.95,71,0.796,-0.144,0.84,0.645,0.322,"ESP"
"Spain",2011,6.518,10.516,0.944,71.12,0.819,-0.128,0.846,0.667,0.356,"ESP"
"Spain",2012,6.291,10.485,0.937,71.24,0.755,-0.065,0.844,0.644,0.366,"ESP"
"Spain",2013,6.15,10.474,0.929,71.36,0.759,-0.107,0.916,0.663,0.372,"ESP"
"Spain",2014,6.456,10.491,0.948,71.48,0.738,-0.034,0.854,0.683,0.335,"ESP"
"Spain",2015,6.381,10.529,0.956,71.6,0.732,-0.078,0.822,0.705,0.285,"ESP"
"Spain",2016,6.319,10.558,0.942,71.725,0.768,-0.054,0.819,0.63,0.301,"ESP"
"Spain",2017,6.23,10.585,0.903,71.85,0.756,-0.038,0.791,0.601,0.302,"ESP"
"Spain",2018,6.513,10.604,0.91,71.975,0.722,-0.081,0.777,0.636,0.357,"ESP"
"Spain",2019,6.457,10.616,0.949,72.1,0.778,-0.054,0.73,0.636,0.316,"ESP"
"Spain",2020,6.502,10.491,0.935,72.225,0.783,-0.127,0.73,0.671,0.317,"ESP"
"Spain",2021,6.47,10.544,0.926,72.35,0.782,-0.076,0.729,0.639,0.324,"ESP"
"Spain",2022,6.337,10.592,0.934,72.475,0.781,-0.001,0.673,0.636,0.32,"ESP"
"Spain",2023,6.456,10.609,0.912,72.6,0.779,-0.004,0.675,0.655,0.325,"ESP"
"Sweden",2005,7.376,10.724,0.951,71,0.964,NA,NA,0.742,0.151,"SWE"
"Sweden",2007,7.241,10.791,0.917,71.08,0.91,0.141,0.289,0.735,0.177,"SWE"
"Sweden",2008,7.516,10.778,0.923,71.12,0.912,0.12,0.314,0.763,0.134,"SWE"
"Sweden",2009,7.266,10.725,0.903,71.16,0.864,0.216,0.292,0.761,0.151,"SWE"
"Sweden",2010,7.496,10.775,0.97,71.2,0.905,0.136,0.253,0.788,0.2,"SWE"
"Sweden",2011,7.382,10.799,0.921,71.24,0.941,0.156,0.269,0.762,0.179,"SWE"
"Sweden",2012,7.56,10.785,0.929,71.28,0.944,0.127,0.254,0.796,0.17,"SWE"
"Sweden",2013,7.434,10.789,0.916,71.32,0.936,0.154,0.324,0.782,0.184,"SWE"
"Sweden",2014,7.239,10.805,0.933,71.36,0.945,0.197,0.25,0.793,0.208,"SWE"
"Sweden",2015,7.289,10.838,0.929,71.4,0.935,0.206,0.232,0.766,0.191,"SWE"
"Sweden",2016,7.369,10.846,0.912,71.525,0.918,0.141,0.246,0.752,0.201,"SWE"
"Sweden",2017,7.287,10.858,0.914,71.65,0.935,0.165,0.239,0.756,0.175,"SWE"
"Sweden",2018,7.375,10.866,0.931,71.775,0.942,0.072,0.263,0.747,0.161,"SWE"
"Sweden",2019,7.398,10.875,0.934,71.9,0.942,0.085,0.25,0.775,0.202,"SWE"
"Sweden",2020,7.314,10.846,0.936,72.025,0.951,0.084,0.203,0.717,0.222,"SWE"
"Sweden",2021,7.439,10.893,0.932,72.15,0.953,0.172,0.191,0.763,0.19,"SWE"
"Sweden",2022,7.431,10.912,0.949,72.275,0.939,0.232,0.213,0.75,0.163,"SWE"
"Sweden",2023,7.161,10.902,0.927,72.4,0.926,0.147,0.253,0.739,0.194,"SWE"
"Switzerland",2006,7.473,11.056,0.951,71.16,0.919,0.284,0.408,0.742,0.212,"CHE"
"Switzerland",2009,7.525,11.065,0.938,71.34,0.891,0.118,0.342,0.741,0.202,"CHE"
"Switzerland",2012,7.776,11.094,0.947,71.52,0.945,0.131,0.323,0.793,0.176,"CHE"
"Switzerland",2014,7.493,11.111,0.959,71.64,0.949,0.053,0.283,0.788,0.189,"CHE"
"Switzerland",2015,7.572,11.116,0.938,71.7,0.928,0.102,0.21,0.794,0.166,"CHE"
"Switzerland",2016,7.459,11.126,0.928,71.9,0.934,0.081,0.302,0.758,0.206,"CHE"
"Switzerland",2017,7.474,11.13,0.95,72.1,0.925,0.173,0.316,0.734,0.196,"CHE"
"Switzerland",2018,7.509,11.151,0.93,72.3,0.926,0.094,0.301,0.756,0.192,"CHE"
"Switzerland",2019,7.694,11.155,0.949,72.5,0.913,0.029,0.294,0.743,0.171,"CHE"
"Switzerland",2020,7.508,11.124,0.946,72.7,0.917,-0.073,0.28,0.73,0.193,"CHE"
"Switzerland",2021,7.328,11.158,0.934,72.9,0.908,0.024,0.287,0.747,0.183,"CHE"
"Switzerland",2022,6.884,11.17,0.881,73.1,0.848,0.128,0.235,0.71,0.18,"CHE"
"Switzerland",2023,6.969,11.169,0.904,73.3,0.891,0.104,0.247,0.745,0.185,"CHE"
"Türkiye",2005,4.719,9.8,0.82,66.1,0.623,NA,0.877,0.479,NA,"TUR"
"Türkiye",2007,5.623,9.891,0.792,66.42,0.459,-0.183,0.8,0.592,0.395,"TUR"
"Türkiye",2008,5.118,9.887,0.645,66.58,0.415,-0.194,0.785,0.51,0.345,"TUR"
"Türkiye",2009,5.213,9.825,0.755,66.74,0.456,-0.232,0.853,0.454,0.316,"TUR"
"Türkiye",2010,5.49,9.893,0.795,66.9,0.515,-0.192,0.811,0.532,0.327,"TUR"
"Türkiye",2011,5.272,9.986,0.692,67.06,0.446,-0.247,0.649,0.512,0.38,"TUR"
"Türkiye",2012,5.309,10.018,0.739,67.22,0.471,-0.221,0.702,0.506,0.335,"TUR"
"Türkiye",2013,4.888,10.082,0.795,67.38,0.541,-0.235,0.698,0.551,0.392,"TUR"
"Türkiye",2014,5.58,10.111,0.863,67.54,0.649,-0.029,0.764,0.41,0.377,"TUR"
"Türkiye",2015,5.514,10.15,0.851,67.7,0.653,-0.021,0.806,0.391,0.382,"TUR"
"Türkiye",2016,5.326,10.166,0.88,67.875,0.644,-0.07,0.764,0.414,0.39,"TUR"
"Türkiye",2017,5.607,10.225,0.876,68.05,0.644,-0.242,0.671,0.393,0.313,"TUR"
"Türkiye",2018,5.186,10.246,0.847,68.225,0.529,-0.181,0.805,0.379,0.351,"TUR"
"Türkiye",2019,4.872,10.245,0.792,68.4,0.631,-0.141,0.76,0.347,0.368,"TUR"
"Türkiye",2020,4.862,10.257,0.857,68.575,0.51,-0.119,0.774,0.332,0.44,"TUR"
"Türkiye",2021,4.367,10.357,0.736,68.75,0.447,-0.039,0.81,0.297,0.471,"TUR"
"Türkiye",2022,5.093,10.404,0.83,68.925,0.47,-0.195,0.767,0.311,0.39,"TUR"
"Türkiye",2023,5.463,10.429,0.86,69.1,0.523,-0.159,0.748,0.344,0.349,"TUR"
"United Kingdom",2005,6.984,10.661,0.979,69.1,0.922,NA,0.398,0.779,0.262,"GBR"
"United Kingdom",2007,6.802,10.693,0.97,69.22,0.838,0.331,0.498,0.686,0.241,"GBR"
"United Kingdom",2008,6.986,10.684,0.954,69.28,0.759,0.325,0.548,0.724,0.218,"GBR"
"United Kingdom",2009,6.907,10.63,0.964,69.34,0.816,0.336,0.559,0.739,0.231,"GBR"
"United Kingdom",2010,7.029,10.646,0.955,69.4,0.841,0.397,0.587,0.753,0.176,"GBR"
"United Kingdom",2011,6.869,10.649,0.949,69.46,0.9,0.331,0.438,0.742,0.174,"GBR"
"United Kingdom",2012,6.881,10.656,0.935,69.52,0.889,0.366,0.425,0.739,0.184,"GBR"
"United Kingdom",2013,6.918,10.668,0.937,69.58,0.905,0.341,0.568,0.719,0.252,"GBR"
"United Kingdom",2014,6.758,10.692,0.91,69.64,0.857,0.349,0.484,0.74,0.251,"GBR"
"United Kingdom",2015,6.515,10.707,0.936,69.7,0.833,0.294,0.456,0.74,0.219,"GBR"
"United Kingdom",2016,6.824,10.721,0.954,69.8,0.821,0.244,0.458,0.732,0.23,"GBR"
"United Kingdom",2017,7.103,10.739,0.937,69.9,0.813,0.285,0.419,0.712,0.21,"GBR"
"United Kingdom",2018,7.233,10.75,0.928,70,0.838,0.22,0.404,0.736,0.228,"GBR"
"United Kingdom",2019,7.157,10.76,0.943,70.1,0.854,0.264,0.485,0.739,0.251,"GBR"
"United Kingdom",2020,6.798,10.639,0.929,70.2,0.885,0.196,0.49,0.717,0.225,"GBR"
"United Kingdom",2021,6.867,10.713,0.854,70.3,0.815,0.252,0.448,0.684,0.266,"GBR"
"United Kingdom",2022,6.722,10.754,0.863,70.4,0.857,0.308,0.426,0.723,0.27,"GBR"
"United Kingdom",2023,6.658,10.759,0.886,70.5,0.874,0.27,0.49,0.719,0.272,"GBR"
"United States",2006,7.182,10.921,0.965,66.78,0.911,NA,0.6,0.775,0.261,"USA"
"United States",2007,7.513,10.931,NA,66.76,0.872,0.191,0.633,0.756,0.232,"USA"
"United States",2008,7.28,10.923,0.953,66.74,0.878,0.249,0.668,0.774,0.227,"USA"
"United States",2009,7.158,10.888,0.912,66.72,0.831,0.195,0.665,0.753,0.262,"USA"
"United States",2010,7.164,10.906,0.926,66.7,0.828,0.238,0.69,0.776,0.231,"USA"
"United States",2011,7.115,10.914,0.922,66.68,0.863,0.155,0.697,0.737,0.273,"USA"
"United States",2012,7.026,10.929,0.903,66.66,0.823,0.208,0.71,0.765,0.26,"USA"
"United States",2013,7.249,10.941,0.925,66.64,0.792,0.268,0.747,0.776,0.26,"USA"
"United States",2014,7.151,10.956,0.902,66.62,0.866,0.215,0.702,0.786,0.281,"USA"
"United States",2015,6.864,10.975,0.904,66.6,0.849,0.213,0.698,0.769,0.275,"USA"
"United States",2016,6.804,10.985,0.897,66.475,0.758,0.138,0.739,0.737,0.264,"USA"
"United States",2017,6.992,11.001,0.921,66.35,0.868,0.191,0.681,0.755,0.268,"USA"
"United States",2018,6.883,11.024,0.904,66.225,0.825,0.11,0.71,0.757,0.292,"USA"
"United States",2019,6.944,11.042,0.917,66.1,0.836,0.138,0.707,0.755,0.244,"USA"
"United States",2020,7.028,11.005,0.937,65.975,0.85,0.028,0.678,0.722,0.295,"USA"
"United States",2021,6.959,11.061,0.92,65.85,0.816,0.188,0.687,0.74,0.277,"USA"
"United States",2022,6.693,11.078,0.9,65.725,0.736,0.189,0.701,0.712,0.267,"USA"
"United States",2023,6.521,11.089,0.861,65.6,0.721,0.185,0.722,0.706,0.284,"USA"
