area,year,cpi_w,obs_status
SVN,2014,0.1015933,A
SVN,2015,0.09997092,A
SVN,2016,0.1021021,A
SVN,2017,0.1033445,A
SVN,2018,0.1053496,A
SVN,2019,0.1128675,A
SVN,2020,0.1105097,A
SVN,2021,0.1153559,P
SVN,2022,0.1195342,E
CHL,2010,0.6414667,A
CHL,2011,0.6987681,A
CHL,2012,0.7020295,A
CHL,2013,0.7347088,A
CHL,2014,0.7368134,A
CHL,2015,0.7123141,A
CHL,2016,0.7262504,A
CHL,2017,0.7262698,A
CHL,2018,0.7415972,A
CHL,2019,0.7444572,A
CHL,2020,0.7305345,A
CHL,2021,0.8014672,P
CHL,2022,0.7970083,E
PRT,2010,0.6495492,A
PRT,2011,0.6124813,A
PRT,2012,0.5787065,A
PRT,2013,0.577725,A
PRT,2014,0.5731941,A
PRT,2015,0.5673784,A
PRT,2016,0.5790092,A
PRT,2017,0.5692814,A
PRT,2018,0.5820582,A
PRT,2019,0.6091616,A
PRT,2020,0.584282,A
PRT,2021,0.580548,P
PRT,2022,0.6054548,E
TUR,2010,2.520518,A
TUR,2011,2.809428,A
TUR,2012,2.835736,A
TUR,2013,2.964073,A
TUR,2014,3.025263,A
TUR,2015,3.17346,A
TUR,2016,3.146144,A
TUR,2017,3.250311,A
TUR,2018,3.163274,A
TUR,2019,3.197672,A
TUR,2020,3.266943,A
TUR,2021,3.398877,P
TUR,2022,4.078074,E
SWE,2010,0.712079,A
SWE,2011,0.7108124,A
SWE,2012,0.7081881,A
SWE,2013,0.6930892,A
SWE,2014,0.6926354,A
SWE,2015,0.6961489,A
SWE,2016,0.6910296,A
SWE,2017,0.6827117,A
SWE,2018,0.6836287,A
SWE,2019,0.6912233,A
SWE,2020,0.708439,A
SWE,2021,0.7093068,P
SWE,2022,0.7079044,E
ISL,2010,0.02347786,A
ISL,2011,0.02370605,A
ISL,2012,0.02421895,A
ISL,2013,0.02400293,A
ISL,2014,0.0242676,A
ISL,2015,0.02408357,A
ISL,2016,0.0242776,A
ISL,2017,0.02539639,A
ISL,2018,0.02600872,A
ISL,2019,0.02675407,A
ISL,2020,0.02840848,A
ISL,2021,0.02815124,P
ISL,2022,0.02910379,E
DNK,2010,0.3984723,A
DNK,2011,0.3908074,A
DNK,2012,0.3884032,A
DNK,2013,0.3902069,A
DNK,2014,0.3793031,A
DNK,2015,0.3768467,A
DNK,2016,0.3798618,A
DNK,2017,0.3898293,A
DNK,2018,0.3991484,A
DNK,2019,0.4027364,A
DNK,2020,0.4221671,A
DNK,2021,0.4251527,P
DNK,2022,0.3872961,E
BEL,2010,0.8166327,A
BEL,2011,0.8168282,A
BEL,2012,0.8221142,A
BEL,2013,0.8232947,A
BEL,2014,0.8242918,A
BEL,2015,0.8168179,A
BEL,2016,0.8230792,A
BEL,2017,0.821862,A
BEL,2018,0.8259047,A
BEL,2019,0.847616,A
BEL,2020,0.8447505,A
BEL,2021,0.8404917,P
BEL,2022,0.859451,E
LTU,2010,0.1334456,A
LTU,2011,0.138279,A
LTU,2012,0.1426567,A
LTU,2013,0.1490788,A
LTU,2014,0.1513809,A
LTU,2015,0.1520578,A
LTU,2016,0.1567602,A
LTU,2017,0.1604092,A
LTU,2018,0.1623378,A
LTU,2019,0.1691507,A
LTU,2020,0.1692585,A
LTU,2021,0.1719677,P
LTU,2022,0.1715066,E
IRL,2010,0.3159185,A
IRL,2011,0.3020438,A
IRL,2012,0.2934174,A
IRL,2013,0.2877635,A
IRL,2014,0.2824557,A
IRL,2015,0.2826235,A
IRL,2016,0.2927832,A
IRL,2017,0.2902136,A
IRL,2018,0.2947756,A
IRL,2019,0.3026062,A
IRL,2020,0.2746355,A
IRL,2021,0.2796282,P
IRL,2022,0.3044351,E
EST,2010,0.05056782,A
EST,2011,0.05259756,A
EST,2012,0.05523435,A
EST,2013,0.05739192,A
EST,2014,0.0583505,A
EST,2015,0.05918649,A
EST,2016,0.061433,A
EST,2017,0.06203608,A
EST,2018,0.06372464,A
EST,2019,0.06674714,A
EST,2020,0.0678333,A
EST,2021,0.06641417,P
EST,2022,0.06720223,E
LVA,2010,0.07769351,A
LVA,2011,0.0770692,A
LVA,2012,0.08143692,A
LVA,2013,0.08650954,A
LVA,2014,0.08485585,A
LVA,2015,0.08400638,A
LVA,2016,0.08605341,A
LVA,2017,0.08802106,A
LVA,2018,0.08876488,A
LVA,2019,0.09020337,A
LVA,2020,0.09008576,A
LVA,2021,0.08957112,P
LVA,2022,0.09344292,E
HUN,2010,0.3885224,A
HUN,2011,0.3959397,A
HUN,2012,0.3873784,A
HUN,2013,0.3857878,A
HUN,2014,0.3815352,A
HUN,2015,0.3765866,A
HUN,2016,0.3882982,A
HUN,2017,0.3889497,A
HUN,2018,0.3980209,A
HUN,2019,0.4189667,A
HUN,2020,0.4241872,A
HUN,2021,0.4115438,P
HUN,2022,0.4261642,E
SVK,2010,0.2592758,A
SVK,2011,0.2537026,A
SVK,2012,0.2546735,A
SVK,2013,0.2537447,A
SVK,2014,0.2545163,A
SVK,2015,0.2530646,A
SVK,2016,0.2361434,A
SVK,2017,0.2315889,A
SVK,2018,0.2328147,A
SVK,2019,0.2404343,A
SVK,2020,0.2684143,A
SVK,2021,0.2596916,P
SVK,2022,0.2696171,E
KOR,2010,2.818651,A
KOR,2011,2.85487,A
KOR,2012,2.875806,A
KOR,2013,2.670838,A
KOR,2014,2.620081,A
KOR,2015,2.72662,A
KOR,2016,2.706599,A
KOR,2017,2.658936,A
KOR,2018,2.688249,A
KOR,2019,2.64975,A
KOR,2020,2.67889,A
KOR,2021,2.592645,P
KOR,2022,2.565742,E
CZE,2010,0.5193646,A
CZE,2011,0.5121853,A
CZE,2012,0.5023059,A
CZE,2013,0.5074149,A
CZE,2014,0.514859,A
CZE,2015,0.5127617,A
CZE,2016,0.5280072,A
CZE,2017,0.547008,A
CZE,2018,0.5542119,A
CZE,2019,0.5784342,A
CZE,2020,0.559819,A
CZE,2021,0.5641186,P
CZE,2022,0.5684387,E
G7,2010,72.26186,A
G7,2011,71.82813,A
G7,2012,71.84414,A
G7,2013,71.84402,A
G7,2014,71.75326,A
G7,2015,71.54668,A
G7,2016,71.2066,A
G7,2017,71.21762,A
G7,2018,71.21972,A
G7,2019,71.09561,A
G7,2020,71.33948,A
G7,2021,71.08821,P
G7,2022,69.65685,E
MEX,2010,4.242871,A
MEX,2011,4.371078,A
MEX,2012,4.417112,A
MEX,2013,4.494419,A
MEX,2014,4.585283,A
MEX,2015,4.582633,A
MEX,2016,4.742889,A
MEX,2017,4.585578,A
MEX,2018,4.550487,A
MEX,2019,4.396113,A
MEX,2020,4.121683,A
MEX,2021,4.222184,P
MEX,2022,4.462654,E
CAN,2010,2.812914,A
CAN,2011,2.826759,A
CAN,2012,2.840675,A
CAN,2013,2.810323,A
CAN,2014,2.834733,A
CAN,2015,2.791305,A
CAN,2016,2.855654,A
CAN,2017,2.888738,A
CAN,2018,2.906973,A
CAN,2019,2.841338,A
CAN,2020,2.835275,A
CAN,2021,2.818528,P
CAN,2022,2.810186,E
GBR,2010,5.06854,A
GBR,2011,5.006951,A
GBR,2012,4.980039,A
GBR,2013,5.002953,A
GBR,2014,5.01304,A
GBR,2015,4.956137,A
GBR,2016,5.126992,A
GBR,2017,5.13561,A
GBR,2018,5.151014,A
GBR,2019,5.26581,A
GBR,2020,4.795116,A
GBR,2021,4.909615,P
GBR,2022,4.987185,E
POL,2010,1.7722,A
POL,2011,1.84485,A
POL,2012,1.877861,A
POL,2013,1.848038,A
POL,2014,1.839394,A
POL,2015,1.857149,A
POL,2016,1.882062,A
POL,2017,1.920181,A
POL,2018,1.955262,A
POL,2019,2.035765,A
POL,2020,2.103015,A
POL,2021,2.08307,P
POL,2022,2.177735,E
NZL,2010,0.2829131,A
NZL,2011,0.2861812,A
NZL,2012,0.2873427,A
NZL,2013,0.2862567,A
NZL,2014,0.2907378,A
NZL,2015,0.291935,A
NZL,2016,0.3109657,A
NZL,2017,0.3194122,A
NZL,2018,0.3144912,A
NZL,2019,0.3287489,A
NZL,2020,0.3505936,A
NZL,2021,0.3449144,P
NZL,2022,0.343506,E
AUT,2010,0.7011432,A
AUT,2011,0.7021608,A
AUT,2012,0.6997554,A
AUT,2013,0.695577,A
AUT,2014,0.6880164,A
AUT,2015,0.682865,A
AUT,2016,0.6947289,A
AUT,2017,0.6906259,A
AUT,2018,0.6886922,A
AUT,2019,0.6982797,A
AUT,2020,0.6952423,A
AUT,2021,0.6984605,P
AUT,2022,0.7148276,E
CHE,2010,0.8076808,A
CHE,2011,0.8007971,A
CHE,2012,0.8059284,A
CHE,2013,0.8210581,A
CHE,2014,0.8145605,A
CHE,2015,0.8125308,A
CHE,2016,0.8129633,A
CHE,2017,0.8037387,A
CHE,2018,0.7945526,A
CHE,2019,0.8012677,A
CHE,2020,0.8109084,A
CHE,2021,0.7744293,P
CHE,2022,0.771273,E
